,date,start-val,max-val,min-val,avg-val,close-val,monetary-diff,precent-diff,amount,value,set-index,set-diff
84,15/12/17,428.00,432.00,426.00,429.92,432.00,2.00,0.47,"7,034.18","3,024.12","1,717.69",0.16
85,14/12/17,428.00,430.00,426.00,428.54,430.00,4.00,0.94,"3,690.85","1,581.66","1,714.99",0.47
86,13/12/17,428.00,430.00,426.00,427.83,426.00,-2.00,-0.47,"6,191.25","2,648.83","1,706.93",0.28
87,12/12/17,424.00,428.00,422.00,425.92,428.00,6.00,1.42,"8,100.76","3,450.24","1,702.17",-0.25
88,08/12/17,418.00,422.00,416.00,419.76,422.00,2.00,0.48,"5,197.15","2,181.54","1,706.52",0.18
89,07/12/17,422.00,422.00,418.00,419.60,420.00,-2.00,-0.47,"3,839.89","1,611.21","1,703.37",0.53
90,06/12/17,420.00,422.00,418.00,420.56,422.00,2.00,0.48,"6,570.11","2,762.88","1,694.39",-0.19
91,04/12/17,422.00,422.00,418.00,419.98,420.00,0.00,0.00,"3,000.14","1,260.00","1,697.61",-0.12
92,01/12/17,416.00,422.00,412.00,417.61,420.00,8.00,1.94,"6,078.60","2,538.46","1,699.65",0.13
93,30/11/17,412.00,414.00,410.00,412.07,412.00,0.00,0.00,"4,113.27","1,694.96","1,697.39",-0.47
94,29/11/17,412.00,416.00,410.00,412.86,412.00,-2.00,-0.48,"3,280.29","1,354.29","1,705.33",-0.07
95,28/11/17,414.00,414.00,412.00,413.54,414.00,-2.00,-0.48,"3,057.36","1,264.33","1,706.52",0.64
96,27/11/17,412.00,416.00,412.00,414.28,416.00,2.00,0.48,"2,844.65","1,178.34","1,695.67",-0.01
97,24/11/17,412.00,414.00,410.00,412.17,414.00,2.00,0.49,"4,330.50","1,784.91","1,695.84",-0.68
98,23/11/17,416.00,418.00,412.00,414.78,412.00,-2.00,-0.48,"4,499.83","1,866.42","1,707.38",-0.34
99,22/11/17,418.00,418.00,414.00,415.67,414.00,0.00,0.00,"3,234.85","1,344.62","1,713.13",0.15
100,21/11/17,418.00,418.00,412.00,414.72,414.00,-2.00,-0.48,"3,457.94","1,434.08","1,710.48",-0.23
101,20/11/17,420.00,420.00,412.00,415.42,416.00,-2.00,-0.48,"3,144.55","1,306.39","1,714.38",0.29
102,17/11/17,412.00,418.00,410.00,414.10,418.00,8.00,1.95,"5,574.35","2,308.33","1,709.38",1.07
103,16/11/17,412.00,414.00,410.00,411.69,410.00,-2.00,-0.49,"3,886.41","1,599.99","1,691.25",0.06
104,15/11/17,416.00,416.00,408.00,412.39,412.00,-6.00,-1.44,"7,387.16","3,046.40","1,690.26",-0.73
105,14/11/17,412.00,420.00,412.00,417.04,418.00,4.00,0.97,"6,128.20","2,555.87","1,702.63",0.92
106,13/11/17,414.00,416.00,412.00,414.02,414.00,0.00,0.00,"3,339.81","1,382.74","1,687.05",-0.13
107,10/11/17,416.00,418.00,414.00,415.53,414.00,-2.00,-0.48,"3,966.41","1,648.17","1,689.28",-0.81
108,09/11/17,418.00,422.00,416.00,417.91,416.00,-4.00,-0.95,"4,750.32","1,985.19","1,703.03",-0.68
109,08/11/17,424.00,426.00,420.00,421.44,420.00,-4.00,-0.94,"3,798.16","1,600.62","1,714.65",0.11
110,07/11/17,424.00,428.00,424.00,425.68,424.00,2.00,0.47,"6,769.50","2,881.46","1,712.75",0.06
111,06/11/17,418.00,422.00,414.00,417.94,422.00,6.00,1.44,"4,432.58","1,852.94","1,711.74",0.60
112,03/11/17,418.00,418.00,412.00,415.32,416.00,0.00,0.00,"3,834.51","1,592.65","1,701.47",-0.03
113,02/11/17,418.00,422.00,412.00,416.95,416.00,-4.00,-0.95,"5,155.34","2,149.47","1,701.93",-0.74
114,01/11/17,424.00,424.00,418.00,420.58,420.00,0.00,0.00,"4,814.33","2,024.77","1,714.55",-0.40
115,31/10/17,420.00,424.00,420.00,421.36,420.00,0.00,0.00,"2,909.68","1,226.03","1,721.37",0.16
116,30/10/17,420.00,424.00,416.00,420.33,420.00,4.00,0.96,"8,636.62","3,630.27","1,718.66",0.15
117,27/10/17,412.00,420.00,412.00,415.73,416.00,6.00,1.46,"4,787.64","1,990.40","1,716.03",0.42
118,25/10/17,412.00,416.00,410.00,412.10,410.00,0.00,0.00,"5,106.08","2,104.22","1,708.84",0.41
119,24/10/17,410.00,414.00,410.00,411.61,410.00,0.00,0.00,"3,430.32","1,411.97","1,701.81",0.55
